theta_1,theta_2,alpha,beta,score
1.0,1.0,0.3,0.001,19
1.0,1.0,0.3,0.001,19
1.889508302429196,1.807524902188755,0.6349240620256102,0.06586204807929474,23
3.012942393849299,9.249491638942871,0.08587800244513333,0.835931685921105,30
2.920603534306104,7.3740505684778395,5.409162385211106,4.500193764402347,24
1.1300942116002375,3.052339761372831,0.9111266769920812,0.3218146261568541,29
10.568933039473013,9.194962450988003,0.6620554042627973,0.4866866075615941,31
11.168669068465041,8.599964123953846,0.9531666092096482,0.8677932254232783,31
1.55429395782656,1.2207345149164033,0.6611998453376624,0.790132066017218,30
11.105962080166531,9.542946478692468,0.7642486368568187,-0.8847267393412268,31
2.2963480471919837,3.303854469614674,2.3726721593480007,1.857964030721263,11
0.6273083125325336,4.810197556999415,2.5764596734979284,0.5392310833330378,27
2.607605445689009,4.919170381260988,5.037339034000352,0.32805744288697825,32
4.063536301233751,0.0352863322955046,1.2100993292407929,1.0427235216120294,31
1.453012317776083,6.3796558491324005,1.5380132355708167,5.0967932387764465,32
0.5691282750515796,2.0,0.4062145144927727,0.4971633271632756,104.87878787878788
2.0360325512680197,2.0,0.8531502569250721,1.1978170685750293,104.87878787878788
9.754919316642281,69.30051880301112,37.6882195559578,68.38013206772895,104.87878787878788
6.865765438578727,3.8099678889831483,0.36493520549390945,4.767125154248832,0.1
5.512095459930837,7.341755831697802,2.8072702987419937,5.337866749366645,0.1
7.055126377354909,3.189097918432804,2.1207806143088055,3.822110094860242,0.1
3.078536913859609,9.061737309356028,3.9776599658890635,9.599858934146742,0.1
11.65216978644147,20.726518915384155,8.144545120286505,21.48114762648193,0.1
6.142100987029034,4.873295544760816,2.7021824857377936,5.596226510175605,0.1
0.5879092133668413,0.07864862955977081,1.2604278816203547,1.193563237426225,0.1
1.350658270900206,3.0245336534562997,1.270976198061275,0.9066535107873931,0.1
1.3685603238014616,1.7285260468812909,2.4300541093972496,2.0526978525811064,0.1
1.2843875421460913,1.5595903922739187,1.4706798077377568,5.009108862483106,0.1
2.1712366540537675,3.4958249526583978,3.0970908591669146,2.7994658547866567,0.1
96,21,0.821751128774002,0.9829807183716983,0.1
22,58,0.46531795728968295,0.3403688007277348,0.1
0,4,0.601676257861161,0.6941426529968592,58.727272727272734
0,3,0.5962168487828554,0.8730093612003349,73.0909090909091
0,7,0.7802815899987083,0.86591766356984,76.15151515151516
40,24,0.023808949688896797,0.580003324160399,0.1
43,39,0.1309408583922934,0.20136471360456798,0.1
32,21,0.3299724367193487,0.12415386463155031,0.1
3,40,0.5066097591108989,0.8429298594651188,0.1
1,3,0.8812158987246564,0.5107626158368699,0.1
22,27,0.30052572706471703,0.8767346718779628,0.1
11,398,0.7496451736083287,0.6289956872045096,0.1
83,30,0.11651876066168809,0.5531911971010036,81.5021645021645
79,821,0.25913945784045067,0.641591438385232,66.38095238095238
325,596,0.47182636335405304,0.720146546133949,82.96969696969697
22,25,0.5621392400234975,0.9740704758714362,65.54545454545455
17,26,0.6760836299037235,0.50115127613358,0.1
10,24,0.1421731611681829,0.1919000881224746,0.1
10,15,0.03591034636379675,0.3478972578717312,0.1
355,365,0.19463505341152676,0.23956692773957633,81.5021645021645
